acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
-0.381,0.409,0.824,1.05,-5.687,-5.162,pick_drop
-0.381,0.409,0.824,1.102,-6.3,-4.707,pick_drop
-0.382,0.408,0.816,1.102,-6.3,-4.707,pick_drop
-0.382,0.408,0.816,1.19,-6.597,-4.077,pick_drop
-0.379,0.413,0.809,1.19,-6.597,-4.077,pick_drop
-0.379,0.413,0.809,1.295,-6.527,-3.115,pick_drop
-0.379,0.4,0.808,1.295,-6.527,-3.115,pick_drop
-0.379,0.4,0.808,1.19,-6.282,-2.502,pick_drop
-0.372,0.394,0.801,1.19,-6.282,-2.502,pick_drop
-0.374,0.391,0.8,1.19,-6.282,-2.502,pick_drop
-0.374,0.391,0.8,0.875,-5.792,-2.065,pick_drop
-0.37,0.386,0.794,0.875,-5.792,-2.065,pick_drop
-0.37,0.386,0.794,0.472,-5.565,-1.855,pick_drop
-0.376,0.384,0.801,0.472,-5.565,-1.855,pick_drop
-0.376,0.384,0.801,0.35,-5.32,-1.592,pick_drop
-0.381,0.39,0.806,0.35,-5.32,-1.592,pick_drop
-0.381,0.39,0.806,0.42,-5.915,-1.61,pick_drop
-0.373,0.373,0.794,0.42,-5.915,-1.61,pick_drop
-0.373,0.373,0.794,0.332,-5.46,-1.89,pick_drop
-0.372,0.38,0.79,0.332,-5.46,-1.89,pick_drop
-0.372,0.38,0.79,0.087,-4.83,-2.31,pick_drop
-0.371,0.384,0.797,0.087,-4.83,-2.31,pick_drop
-0.371,0.384,0.797,-0.227,-5.18,-2.485,pick_drop
-0.365,0.372,0.795,-0.227,-5.18,-2.485,pick_drop
-0.365,0.372,0.795,-0.542,-3.972,-2.59,pick_drop
-0.36,0.388,0.806,-0.542,-3.972,-2.59,pick_drop
-0.361,0.389,0.817,-1.19,-3.797,-2.677,pick_drop
-0.343,0.388,0.804,-1.19,-3.797,-2.677,pick_drop
-0.343,0.388,0.804,-1.715,-5.32,-2.852,pick_drop
-0.343,0.396,0.802,-1.715,-5.32,-2.852,pick_drop
-0.343,0.396,0.802,-2.572,-5.88,-1.82,pick_drop
-0.34,0.411,0.802,-2.572,-5.88,-1.82,pick_drop
-0.34,0.411,0.802,-3.395,-6.597,-0.787,pick_drop
-0.345,0.411,0.808,-3.395,-6.597,-0.787,pick_drop
-0.345,0.411,0.808,-3.552,-7.577,0.542,pick_drop
-0.36,0.406,0.846,-3.552,-7.577,0.542,pick_drop
-0.36,0.406,0.846,-2.047,-8.155,2.1,pick_drop
-0.367,0.404,0.864,-2.047,-8.155,2.1,pick_drop
-0.367,0.404,0.864,-0.455,-8.505,2.835,pick_drop
-0.363,0.389,0.848,-0.455,-8.505,2.835,pick_drop
-0.363,0.389,0.848,0.892,-6.912,3.465,pick_drop
-0.366,0.387,0.841,0.892,-6.912,3.465,pick_drop
-0.366,0.387,0.841,2.117,-6.317,3.762,pick_drop
-0.368,0.386,0.84,2.117,-6.317,3.762,pick_drop
-0.371,0.373,0.823,2.922,-7.612,3.307,pick_drop
-0.378,0.37,0.819,2.922,-7.612,3.307,pick_drop
-0.378,0.37,0.819,3.36,-7.332,2.73,pick_drop
-0.388,0.376,0.823,3.36,-7.332,2.73,pick_drop
-0.388,0.376,0.823,3.43,-6.23,2.012,pick_drop
-0.389,0.375,0.816,3.43,-6.23,2.012,pick_drop
-0.389,0.375,0.816,3.36,-6.335,1.277,pick_drop
-0.386,0.369,0.803,3.36,-6.335,1.277,pick_drop
-0.386,0.369,0.803,3.272,-5.932,0.927,pick_drop
-0.383,0.362,0.791,3.272,-5.932,0.927,pick_drop
-0.383,0.362,0.791,3.062,-4.9,0.717,pick_drop
-0.387,0.365,0.797,3.062,-4.9,0.717,pick_drop
-0.387,0.365,0.797,2.607,-4.637,0.472,pick_drop
-0.391,0.373,0.809,2.607,-4.637,0.472,pick_drop
-0.391,0.373,0.809,2.31,-5.687,0.262,pick_drop
-0.387,0.377,0.805,2.31,-5.687,0.262,pick_drop
-0.387,0.377,0.805,2.117,-6.02,0.63,pick_drop
-0.392,0.382,0.816,2.117,-6.02,0.63,pick_drop
-0.39,0.38,0.816,2.117,-6.02,0.63,pick_drop
-0.39,0.38,0.816,2.205,-6.615,1.12,pick_drop
-0.385,0.367,0.811,2.205,-6.615,1.12,pick_drop
-0.385,0.367,0.811,2.345,-6.615,1.452,pick_drop
-0.388,0.371,0.816,2.345,-6.615,1.452,pick_drop
-0.388,0.371,0.816,2.362,-5.652,1.592,pick_drop
-0.391,0.379,0.819,2.362,-5.652,1.592,pick_drop
-0.391,0.379,0.819,2.362,-5.792,1.47,pick_drop
-0.39,0.38,0.816,2.362,-5.792,1.47,pick_drop
-0.39,0.38,0.816,2.555,-6.842,1.4,pick_drop
-0.383,0.38,0.805,2.555,-6.842,1.4,pick_drop
-0.383,0.38,0.805,2.712,-7.087,1.61,pick_drop
-0.381,0.363,0.807,2.712,-7.087,1.61,pick_drop
-0.381,0.363,0.807,2.52,-6.002,1.452,pick_drop
-0.378,0.365,0.807,2.52,-6.002,1.452,pick_drop
-0.378,0.365,0.807,2.222,-4.655,1.26,pick_drop
-0.38,0.372,0.811,2.222,-4.655,1.26,pick_drop
-0.38,0.372,0.811,2.17,-5.11,1.12,pick_drop
-0.382,0.378,0.814,2.17,-5.11,1.12,pick_drop
-0.385,0.376,0.816,2.17,-5.11,1.12,pick_drop
-0.385,0.376,0.816,2.345,-5.687,1.12,pick_drop
-0.384,0.375,0.814,2.345,-5.687,1.12,pick_drop
-0.384,0.375,0.814,2.52,-5.477,1.277,pick_drop
-0.381,0.372,0.811,2.52,-5.477,1.277,pick_drop
-0.381,0.372,0.811,2.712,-5.232,1.33,pick_drop
-0.38,0.364,0.814,2.712,-5.232,1.33,pick_drop
-0.38,0.364,0.814,2.677,-5.092,1.137,pick_drop
-0.38,0.367,0.815,2.677,-5.092,1.137,pick_drop
-0.38,0.367,0.815,2.432,-4.62,0.717,pick_drop
-0.38,0.373,0.816,2.432,-4.62,0.717,pick_drop
-0.38,0.373,0.816,2.625,-5.11,0.595,pick_drop
-0.385,0.375,0.816,2.625,-5.11,0.595,pick_drop
-0.385,0.375,0.816,2.782,-5.04,0.665,pick_drop
-0.382,0.363,0.815,2.782,-5.04,0.665,pick_drop
-0.382,0.363,0.815,2.8,-4.287,0.402,pick_drop
-0.382,0.371,0.816,2.8,-4.287,0.402,pick_drop
-0.382,0.371,0.816,2.887,-4.532,0.28,pick_drop
-0.385,0.367,0.822,2.887,-4.532,0.28,pick_drop
-0.385,0.37,0.821,2.887,-4.532,0.28,pick_drop
-0.385,0.37,0.821,3.185,-5.127,0.087,pick_drop
-0.391,0.377,0.826,3.185,-5.127,0.087,pick_drop
-0.391,0.377,0.826,3.605,-5.407,0.122,pick_drop
-0.387,0.373,0.818,3.605,-5.407,0.122,pick_drop
-0.387,0.373,0.818,3.762,-5.757,0.087,pick_drop
-0.382,0.375,0.816,3.762,-5.757,0.087,pick_drop
-0.382,0.375,0.816,3.64,-5.442,-0.017,pick_drop
-0.381,0.371,0.816,3.64,-5.442,-0.017,pick_drop
-0.381,0.371,0.816,3.535,-5.197,-0.14,pick_drop
-0.379,0.366,0.814,3.535,-5.197,-0.14,pick_drop
-0.379,0.366,0.814,3.465,-4.497,-0.227,pick_drop
-0.378,0.364,0.816,3.465,-4.497,-0.227,pick_drop
-0.378,0.364,0.816,3.342,-4.025,-0.507,pick_drop
-0.377,0.366,0.818,3.342,-4.025,-0.507,pick_drop
-0.377,0.366,0.818,3.15,-3.727,-0.752,pick_drop
-0.379,0.373,0.821,3.15,-3.727,-0.752,pick_drop
-0.381,0.377,0.824,3.185,-4.392,-0.665,pick_drop
-0.38,0.371,0.821,3.185,-4.392,-0.665,pick_drop
-0.38,0.371,0.821,3.447,-5.145,-0.472,pick_drop
-0.38,0.368,0.819,3.447,-5.145,-0.472,pick_drop
-0.38,0.368,0.819,3.57,-5.267,-0.262,pick_drop
-0.379,0.37,0.815,3.57,-5.267,-0.262,pick_drop
-0.379,0.37,0.815,3.64,-5.932,-0.367,pick_drop
-0.376,0.364,0.81,3.64,-5.932,-0.367,pick_drop
-0.376,0.364,0.81,3.587,-6.37,-0.402,pick_drop
-0.375,0.361,0.811,3.587,-6.37,-0.402,pick_drop
-0.375,0.361,0.811,3.412,-6.002,-0.7,pick_drop
-0.375,0.365,0.81,3.412,-6.002,-0.7,pick_drop
-0.375,0.365,0.81,3.167,-5.512,-0.98,pick_drop
-0.378,0.368,0.816,3.167,-5.512,-0.98,pick_drop
-0.378,0.368,0.816,3.15,-4.847,-1.032,pick_drop
-0.375,0.374,0.818,3.15,-4.847,-1.032,pick_drop
-0.375,0.374,0.818,3.237,-4.97,-1.032,pick_drop
-0.372,0.373,0.815,3.237,-4.97,-1.032,pick_drop
-0.369,0.37,0.814,3.237,-4.97,-1.032,pick_drop
-0.369,0.37,0.814,3.097,-4.865,-0.997,pick_drop
-0.369,0.375,0.814,3.097,-4.865,-0.997,pick_drop
-0.369,0.375,0.814,2.905,-4.497,-0.962,pick_drop
-0.371,0.375,0.819,2.905,-4.497,-0.962,pick_drop
-0.371,0.375,0.819,2.975,-5.11,-0.787,pick_drop
-0.375,0.371,0.825,2.975,-5.11,-0.787,pick_drop
-0.375,0.371,0.825,2.922,-5.407,-0.892,pick_drop
-0.376,0.374,0.821,2.922,-5.407,-0.892,pick_drop
-0.376,0.374,0.821,2.975,-4.725,-0.892,pick_drop
-0.379,0.379,0.828,2.975,-4.725,-0.892,pick_drop
-0.379,0.379,0.828,3.132,-4.375,-0.49,pick_drop
-0.378,0.379,0.825,3.132,-4.375,-0.49,pick_drop
-0.378,0.379,0.825,3.237,-5.18,-0.367,pick_drop
-0.373,0.37,0.815,3.237,-5.18,-0.367,pick_drop
-0.373,0.37,0.815,3.115,-5.302,-0.175,pick_drop
-0.372,0.361,0.818,3.115,-5.302,-0.175,pick_drop
-0.372,0.361,0.818,2.87,-4.847,-0.332,pick_drop
-0.373,0.362,0.818,2.87,-4.847,-0.332,pick_drop
-0.375,0.362,0.819,2.87,-4.847,-0.332,pick_drop
-0.375,0.362,0.819,2.8,-4.83,-0.63,pick_drop
-0.376,0.368,0.821,2.8,-4.83,-0.63,pick_drop
-0.376,0.368,0.821,2.87,-5.145,-0.997,pick_drop
-0.37,0.365,0.815,2.87,-5.145,-0.997,pick_drop
-0.37,0.365,0.815,2.94,-4.987,-1.015,pick_drop
-0.368,0.368,0.814,2.94,-4.987,-1.015,pick_drop
-0.368,0.368,0.814,2.835,-4.34,-0.91,pick_drop
-0.37,0.377,0.822,2.835,-4.34,-0.91,pick_drop
