acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
-0.189,0.441,0.849,3.08,-4.27,-1.312,pick_drop
-0.19,0.44,0.849,3.08,-4.27,-1.312,pick_drop
-0.19,0.44,0.849,2.8,-4.585,-0.945,pick_drop
-0.191,0.438,0.849,2.8,-4.585,-0.945,pick_drop
-0.191,0.438,0.849,2.695,-4.55,-0.682,pick_drop
-0.19,0.438,0.85,2.695,-4.55,-0.682,pick_drop
-0.192,0.438,0.849,2.66,-4.392,-0.49,pick_drop
-0.191,0.438,0.849,2.66,-4.392,-0.49,pick_drop
-0.191,0.438,0.849,2.677,-4.27,-0.507,pick_drop
-0.191,0.439,0.85,2.677,-4.27,-0.507,pick_drop
-0.191,0.439,0.85,2.695,-4.305,-0.665,pick_drop
-0.191,0.439,0.85,2.695,-4.305,-0.665,pick_drop
-0.191,0.439,0.85,2.73,-4.375,-0.997,pick_drop
-0.191,0.439,0.849,2.73,-4.375,-0.997,pick_drop
-0.191,0.439,0.849,2.765,-4.375,-1.347,pick_drop
-0.192,0.438,0.849,2.765,-4.375,-1.347,pick_drop
-0.192,0.438,0.849,2.695,-4.392,-1.68,pick_drop
-0.19,0.439,0.85,2.695,-4.392,-1.68,pick_drop
-0.19,0.439,0.85,2.66,-4.357,-1.785,pick_drop
-0.19,0.439,0.849,2.66,-4.357,-1.785,pick_drop
-0.19,0.439,0.849,2.73,-4.34,-1.627,pick_drop
-0.19,0.438,0.849,2.73,-4.34,-1.627,pick_drop
-0.19,0.438,0.849,2.782,-4.427,-1.365,pick_drop
-0.191,0.439,0.848,2.782,-4.427,-1.365,pick_drop
-0.19,0.441,0.85,2.782,-4.427,-1.365,pick_drop
-0.19,0.441,0.85,2.52,-4.725,-1.172,pick_drop
-0.189,0.439,0.849,2.52,-4.725,-1.172,pick_drop
-0.189,0.439,0.849,2.117,-4.97,-1.12,pick_drop
-0.188,0.438,0.849,2.117,-4.97,-1.12,pick_drop
-0.188,0.438,0.849,1.82,-4.97,-1.12,pick_drop
-0.191,0.439,0.85,1.82,-4.97,-1.12,pick_drop
-0.191,0.439,0.85,1.68,-4.952,-0.927,pick_drop
-0.193,0.436,0.849,1.68,-4.952,-0.927,pick_drop
-0.193,0.436,0.849,1.75,-4.83,-0.682,pick_drop
-0.194,0.436,0.85,1.75,-4.83,-0.682,pick_drop
-0.194,0.436,0.85,2.012,-4.48,-0.507,pick_drop
-0.193,0.437,0.85,2.012,-4.48,-0.507,pick_drop
-0.193,0.437,0.85,2.327,-4.287,-0.402,pick_drop
-0.193,0.437,0.849,2.327,-4.287,-0.402,pick_drop
-0.193,0.437,0.849,2.625,-4.252,-0.472,pick_drop
-0.192,0.44,0.85,2.625,-4.252,-0.472,pick_drop
-0.192,0.44,0.85,2.747,-4.375,-0.595,pick_drop
-0.192,0.44,0.849,2.747,-4.375,-0.595,pick_drop
-0.192,0.437,0.849,2.747,-4.375,-0.595,pick_drop
-0.192,0.437,0.849,2.765,-4.462,-0.717,pick_drop
-0.192,0.438,0.85,2.765,-4.462,-0.717,pick_drop
-0.192,0.438,0.85,2.677,-4.41,-0.892,pick_drop
-0.191,0.438,0.85,2.677,-4.41,-0.892,pick_drop
-0.191,0.438,0.85,2.502,-4.427,-0.927,pick_drop
-0.191,0.438,0.849,2.502,-4.427,-0.927,pick_drop
-0.191,0.438,0.849,2.345,-4.515,-0.822,pick_drop
-0.191,0.439,0.849,2.345,-4.515,-0.822,pick_drop
-0.191,0.439,0.849,2.117,-4.69,-0.647,pick_drop
-0.191,0.437,0.85,2.117,-4.69,-0.647,pick_drop
-0.191,0.437,0.85,1.96,-4.602,-0.472,pick_drop
-0.192,0.436,0.85,1.96,-4.602,-0.472,pick_drop
-0.192,0.436,0.85,1.942,-4.34,-0.332,pick_drop
-0.192,0.436,0.85,1.942,-4.34,-0.332,pick_drop
-0.192,0.436,0.85,1.96,-4.06,-0.245,pick_drop
-0.193,0.437,0.85,1.96,-4.06,-0.245,pick_drop
