acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
0.442,0.897,-0.018,1.172,-0.437,0,brushing
0.442,0.897,-0.018,1.732,-0.997,-0.087,brushing
0.438,0.901,-0.02,1.732,-0.997,-0.087,brushing
0.438,0.901,-0.02,2.415,-1.837,-0.017,brushing
0.434,0.904,-0.024,2.415,-1.837,-0.017,brushing
0.434,0.904,-0.024,3.202,-2.327,0.21,brushing
0.434,0.904,-0.026,3.202,-2.327,0.21,brushing
0.434,0.904,-0.026,3.937,-3.22,0.35,brushing
0.434,0.898,-0.027,3.937,-3.22,0.35,brushing
0.434,0.898,-0.027,4.69,-4.217,0.227,brushing
0.437,0.892,-0.027,4.69,-4.217,0.227,brushing
0.437,0.892,-0.027,5.425,-4.672,-0.175,brushing
0.439,0.885,-0.026,5.425,-4.672,-0.175,brushing
0.439,0.885,-0.026,5.967,-4.812,-0.822,brushing
0.442,0.885,-0.028,5.967,-4.812,-0.822,brushing
0.444,0.888,-0.028,6.195,-4.76,-1.4,brushing
0.445,0.89,-0.028,6.195,-4.76,-1.4,brushing
0.445,0.89,-0.028,6.212,-5.04,-1.82,brushing
0.446,0.89,-0.029,6.212,-5.04,-1.82,brushing
0.446,0.89,-0.029,6.09,-5.39,-1.855,brushing
0.448,0.892,-0.032,6.09,-5.39,-1.855,brushing
0.448,0.892,-0.032,5.705,-5.285,-1.61,brushing
0.448,0.892,-0.034,5.705,-5.285,-1.61,brushing
0.448,0.892,-0.034,5.162,-5.25,-1.312,brushing
0.446,0.889,-0.035,5.162,-5.25,-1.312,brushing
0.446,0.889,-0.035,4.602,-5.355,-1.085,brushing
0.445,0.888,-0.038,4.602,-5.355,-1.085,brushing
0.445,0.888,-0.038,4.392,-5.075,-1.067,brushing
0.442,0.889,-0.043,4.392,-5.075,-1.067,brushing
0.442,0.889,-0.043,4.147,-4.935,-1.155,brushing
0.437,0.89,-0.047,4.147,-4.935,-1.155,brushing
0.437,0.89,-0.047,3.657,-5.372,-1.242,brushing
0.431,0.885,-0.04,3.657,-5.372,-1.242,brushing
0.436,0.875,-0.03,3.5,-5.477,-1.452,brushing
0.441,0.88,-0.03,3.5,-5.477,-1.452,brushing
0.441,0.88,-0.03,3.867,-4.83,-2.135,brushing
0.443,0.882,-0.034,3.867,-4.83,-2.135,brushing
0.443,0.882,-0.034,3.937,-5.197,-2.957,brushing
0.439,0.881,-0.033,3.937,-5.197,-2.957,brushing
0.439,0.881,-0.033,3.657,-5.495,-3.272,brushing
0.438,0.882,-0.027,3.657,-5.495,-3.272,brushing
0.438,0.882,-0.027,3.71,-3.99,-3.027,brushing
0.44,0.893,-0.026,3.71,-3.99,-3.027,brushing
0.44,0.893,-0.026,3.867,-2.922,-2.415,brushing
0.441,0.9,-0.027,3.867,-2.922,-2.415,brushing
0.441,0.9,-0.027,3.885,-4.13,-2.03,brushing
0.439,0.898,-0.03,3.885,-4.13,-2.03,brushing
0.439,0.898,-0.03,3.937,-5.372,-1.872,brushing
0.435,0.896,-0.034,3.937,-5.372,-1.872,brushing
0.435,0.896,-0.034,4.34,-5.285,-1.487,brushing
0.43,0.894,-0.036,4.34,-5.285,-1.487,brushing
0.43,0.891,-0.034,4.34,-5.285,-1.487,brushing
0.43,0.891,-0.034,4.9,-4.882,-1.19,brushing
0.43,0.895,-0.035,4.9,-4.882,-1.19,brushing
0.43,0.895,-0.035,5.442,-4.637,-1.225,brushing
0.427,0.895,-0.033,5.442,-4.637,-1.225,brushing
0.427,0.895,-0.033,5.845,-5.32,-1.54,brushing
0.429,0.888,-0.03,5.845,-5.32,-1.54,brushing
0.429,0.888,-0.03,6.055,-6.02,-1.907,brushing
0.432,0.89,-0.028,6.055,-6.02,-1.907,brushing
0.432,0.89,-0.028,6.317,-5.705,-2.117,brushing
0.437,0.893,-0.03,6.317,-5.705,-2.117,brushing
0.437,0.893,-0.03,6.405,-5.967,-2.117,brushing
0.44,0.891,-0.029,6.405,-5.967,-2.117,brushing
0.44,0.891,-0.029,6.282,-6.352,-1.82,brushing
0.446,0.889,-0.025,6.282,-6.352,-1.82,brushing
0.446,0.889,-0.025,6.16,-6.44,-1.382,brushing
0.452,0.891,-0.025,6.16,-6.44,-1.382,brushing
0.452,0.891,-0.025,5.915,-6.58,-0.857,brushing
0.459,0.892,-0.026,5.915,-6.58,-0.857,brushing
0.465,0.889,-0.03,5.915,-6.58,-0.857,brushing
0.465,0.889,-0.03,5.32,-7.07,-0.297,brushing
0.467,0.89,-0.033,5.32,-7.07,-0.297,brushing
0.467,0.89,-0.033,4.462,-6.72,0.385,brushing
0.468,0.894,-0.033,4.462,-6.72,0.385,brushing
0.468,0.894,-0.033,3.465,-6.125,1.365,brushing
0.467,0.894,-0.037,3.465,-6.125,1.365,brushing
0.467,0.894,-0.037,2.205,-6.02,2.31,brushing
0.463,0.893,-0.043,2.205,-6.02,2.31,brushing
0.463,0.893,-0.043,0.77,-5.565,3.027,brushing
0.459,0.892,-0.047,0.77,-5.565,3.027,brushing
0.459,0.892,-0.047,-0.717,-4.987,3.395,brushing
0.454,0.888,-0.051,-0.717,-4.987,3.395,brushing
0.454,0.888,-0.051,-2.17,-4.095,3.447,brushing
0.447,0.884,-0.053,-2.17,-4.095,3.447,brushing
0.447,0.884,-0.053,-3.587,-3.342,2.957,brushing
0.44,0.879,-0.056,-3.587,-3.342,2.957,brushing
0.44,0.879,-0.056,-5.005,-2.677,2.03,brushing
0.432,0.877,-0.059,-5.005,-2.677,2.03,brushing
0.426,0.874,-0.061,-5.005,-2.677,2.03,brushing
0.426,0.874,-0.061,-6.405,-1.732,0.962,brushing
0.418,0.876,-0.06,-6.405,-1.732,0.962,brushing
0.418,0.876,-0.06,-7.647,-0.84,-0.175,brushing
0.411,0.875,-0.056,-7.647,-0.84,-0.175,brushing
0.411,0.875,-0.056,-8.54,-0.315,-1.382,brushing
0.406,0.872,-0.056,-8.54,-0.315,-1.382,brushing
0.406,0.872,-0.056,-8.802,0.595,-2.712,brushing
0.401,0.873,-0.049,-8.802,0.595,-2.712,brushing
0.401,0.873,-0.049,-8.627,1.592,-3.902,brushing
0.396,0.878,-0.037,-8.627,1.592,-3.902,brushing
0.396,0.878,-0.037,-7.77,1.732,-4.882,brushing
0.394,0.88,-0.017,-7.77,1.732,-4.882,brushing
0.394,0.88,-0.017,-5.705,1.522,-5.705,brushing
0.401,0.887,0.01,-5.705,1.522,-5.705,brushing
0.401,0.887,0.01,-2.257,1.067,-6.16,brushing
0.412,0.894,0.024,-2.257,1.067,-6.16,brushing
0.426,0.899,0.015,1.557,0.84,-6.177,brushing
