acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
0.606,1.096,-0.237,-7.962,2.782,17.797,brushing
0.606,1.096,-0.237,-17.552,12.197,30.327,brushing
0.693,1.149,-0.271,-17.552,12.197,30.327,brushing
0.693,1.149,-0.271,-32.06,24.92,46.585,brushing
0.77,1.263,-0.304,-32.06,24.92,46.585,brushing
0.77,1.263,-0.304,-53.69,29.68,67.305,brushing
0.785,1.386,-0.25,-53.69,29.68,67.305,brushing
0.752,1.435,-0.173,-53.69,29.68,67.305,brushing
0.752,1.435,-0.173,-75.057,13.457,88.97,brushing
0.735,1.361,-0.147,-75.057,13.457,88.97,brushing
0.735,1.361,-0.147,-88.585,-13.965,108.202,brushing
0.735,1.292,-0.153,-88.585,-13.965,108.202,brushing
0.735,1.292,-0.153,-95.637,-31.64,124.74,brushing
0.722,1.199,-0.18,-95.637,-31.64,124.74,brushing
0.722,1.199,-0.18,-101.255,-41.072,139.195,brushing
0.681,1.066,-0.186,-101.255,-41.072,139.195,brushing
0.681,1.066,-0.186,-106.872,-43.575,149.765,brushing
0.637,0.925,-0.173,-106.872,-43.575,149.765,brushing
0.637,0.925,-0.173,-110.582,-36.4,156.362,brushing
0.605,0.811,-0.128,-110.582,-36.4,156.362,brushing
0.605,0.811,-0.128,-112.84,-27.037,157.867,brushing
0.582,0.721,-0.078,-112.84,-27.037,157.867,brushing
0.582,0.721,-0.078,-112.945,-19.985,155.12,brushing
0.562,0.647,-0.02,-112.945,-19.985,155.12,brushing
0.562,0.647,-0.02,-110.127,-16.52,148.452,brushing
0.539,0.609,0.045,-110.127,-16.52,148.452,brushing
0.53,0.549,0.067,-110.127,-16.52,148.452,brushing
0.53,0.549,0.067,-104.177,-26.022,138.985,brushing
0.544,0.499,0.061,-104.177,-26.022,138.985,brushing
0.544,0.499,0.061,-96.425,-39.287,127.452,brushing
0.557,0.459,0.059,-96.425,-39.287,127.452,brushing
0.557,0.459,0.059,-87.587,-50.435,115.377,brushing
0.546,0.377,0.064,-87.587,-50.435,115.377,brushing
0.546,0.377,0.064,-78.382,-60.515,103.512,brushing
0.547,0.304,0.077,-78.382,-60.515,103.512,brushing
0.547,0.304,0.077,-68.722,-67.777,89.897,brushing
0.553,0.226,0.086,-68.722,-67.777,89.897,brushing
0.553,0.226,0.086,-58.292,-69.44,74.97,brushing
0.572,0.131,0.086,-58.292,-69.44,74.97,brushing
0.572,0.131,0.086,-49.087,-60.515,60.725,brushing
0.593,0.088,0.097,-49.087,-60.515,60.725,brushing
0.593,0.088,0.097,-40.617,-42.105,46.62,brushing
0.623,0.124,0.141,-40.617,-42.105,46.62,brushing
0.623,0.124,0.141,-32.34,-34.212,34.02,brushing
0.646,0.149,0.195,-32.34,-34.212,34.02,brushing
0.671,0.146,0.225,-32.34,-34.212,34.02,brushing
0.671,0.146,0.225,-23.677,-32.917,23.59,brushing
0.7,0.16,0.24,-23.677,-32.917,23.59,brushing
0.7,0.16,0.24,-14.857,-29.592,15.05,brushing
0.732,0.182,0.242,-14.857,-29.592,15.05,brushing
0.732,0.182,0.242,-6.492,-23.432,8.277,brushing
0.764,0.218,0.23,-6.492,-23.432,8.277,brushing
0.764,0.218,0.23,0.77,-15.102,3.64,brushing
0.79,0.24,0.22,0.77,-15.102,3.64,brushing
0.79,0.24,0.22,6.055,-7.42,0.455,brushing
0.809,0.253,0.22,6.055,-7.42,0.455,brushing
0.809,0.253,0.22,9.292,-1.855,-2.73,brushing
0.819,0.279,0.244,9.292,-1.855,-2.73,brushing
0.819,0.279,0.244,11.987,2.502,-5.005,brushing
0.836,0.309,0.267,11.987,2.502,-5.005,brushing
0.836,0.309,0.267,14.402,5.127,-6.23,brushing
0.852,0.317,0.279,14.402,5.127,-6.23,brushing
0.864,0.33,0.285,16.275,7.84,-7.017,brushing
0.885,0.359,0.278,16.275,7.84,-7.017,brushing
0.885,0.359,0.278,17.045,9.345,-7.805,brushing
0.904,0.403,0.265,17.045,9.345,-7.805,brushing
0.904,0.403,0.265,15.995,9.59,-7.647,brushing
0.91,0.437,0.226,15.995,9.59,-7.647,brushing
0.91,0.437,0.226,12.075,4.095,-6.702,brushing
0.932,0.379,0.226,12.075,4.095,-6.702,brushing
0.932,0.379,0.226,5.547,-12.792,-9.66,brushing
0.894,0.312,0.316,5.547,-12.792,-9.66,brushing
0.894,0.312,0.316,8.977,10.517,-6.16,brushing
0.868,0.369,0.378,8.977,10.517,-6.16,brushing
0.868,0.369,0.378,9.695,9.012,-8.855,brushing
0.814,0.716,-0.037,9.695,9.012,-8.855,brushing
0.814,0.716,-0.037,-3.78,-29.522,-5.005,brushing
0.856,0.738,-0.295,-3.78,-29.522,-5.005,brushing
0.856,0.738,-0.295,-18.637,-82.092,-10.71,brushing
1.114,0.142,0.442,-18.637,-82.092,-10.71,brushing
0.641,0.304,0.685,-15.137,-47.215,-12.722,brushing
0.822,0.238,0.576,-15.137,-47.215,-12.722,brushing
0.822,0.238,0.576,4.795,-29.05,-12.407,brushing
0.817,0.105,0.456,4.795,-29.05,-12.407,brushing
0.817,0.105,0.456,14.42,1.295,-14.437,brushing
