acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
-0.001,-0.416,-0.997,-15.417,-14.07,-4.445,chopping
-0.008,-0.397,-1.019,-15.417,-14.07,-4.445,chopping
-0.029,-0.409,-0.976,-19.022,-9.415,-3.535,chopping
-0.03,-0.401,-0.877,-19.022,-9.415,-3.535,chopping
-0.03,-0.401,-0.877,-19.967,-7.577,-2.712,chopping
-0.057,-0.374,-0.82,-19.967,-7.577,-2.712,chopping
-0.057,-0.374,-0.82,-17.272,-5.967,-0.927,chopping
-0.078,-0.35,-0.842,-17.272,-5.967,-0.927,chopping
-0.078,-0.35,-0.842,-14.087,-2.362,2.082,chopping
-0.091,-0.383,-0.89,-14.087,-2.362,2.082,chopping
-0.091,-0.383,-0.89,-13.475,-1.347,3.937,chopping
-0.075,-0.494,-0.9,-13.475,-1.347,3.937,chopping
-0.075,-0.494,-0.9,-13.247,-7.455,0.402,chopping
-0.065,-0.559,-0.909,-13.247,-7.455,0.402,chopping
-0.065,-0.559,-0.909,-10.307,-14.752,-7.525,chopping
-0.051,-0.432,-0.891,-10.307,-14.752,-7.525,chopping
-0.051,-0.432,-0.891,-7.262,-7.962,-9.975,chopping
-0.03,-0.392,-0.858,-7.262,-7.962,-9.975,chopping
-0.03,-0.392,-0.858,-5.337,4.182,-8.102,chopping
-0.03,-0.482,-0.814,-5.337,4.182,-8.102,chopping
-0.021,-0.424,-0.791,0.052,5.302,-9.257,chopping
-0.002,-0.313,-0.718,0.052,5.302,-9.257,chopping
-0.002,-0.313,-0.718,6.317,6.912,-7.402,chopping
-0.023,-0.331,-0.667,6.317,6.912,-7.402,chopping
-0.023,-0.331,-0.667,12.687,8.837,-1.382,chopping
-0.021,-0.279,-0.733,12.687,8.837,-1.382,chopping
-0.021,-0.279,-0.733,19.792,7.332,4.2,chopping
0.011,-0.299,-0.809,19.792,7.332,4.2,chopping
0.011,-0.299,-0.809,22.89,9.52,10.307,chopping
0.025,-0.389,-0.861,22.89,9.52,10.307,chopping
0.025,-0.389,-0.861,24.097,8.855,11.672,chopping
0.046,-0.36,-0.884,24.097,8.855,11.672,chopping
0.046,-0.36,-0.884,25.777,5.092,10.832,chopping
0.053,-0.317,-0.903,25.777,5.092,10.832,chopping
0.053,-0.317,-0.903,26.46,5.092,12.635,chopping
0.047,-0.376,-0.94,26.46,5.092,12.635,chopping
0.047,-0.376,-0.94,26.04,2.362,12.617,chopping
0.039,-0.404,-1.01,26.04,2.362,12.617,chopping
0.037,-0.382,-1.066,26.04,2.362,12.617,chopping
0.037,-0.382,-1.066,23.957,-2.87,11.06,chopping
0.042,-0.365,-1.069,23.957,-2.87,11.06,chopping
0.042,-0.365,-1.069,20.037,-3.587,11.112,chopping
0.045,-0.399,-1.069,20.037,-3.587,11.112,chopping
0.045,-0.399,-1.069,15.435,-1.925,12.18,chopping
0.033,-0.447,-1.057,15.435,-1.925,12.18,chopping
0.033,-0.447,-1.057,11.725,-3.482,11.637,chopping
0.027,-0.413,-1.054,11.725,-3.482,11.637,chopping
0.027,-0.413,-1.054,8.697,-5.67,10.57,chopping
0.008,-0.408,-1.043,8.697,-5.67,10.57,chopping
0.008,-0.408,-1.043,5.075,-4.2,11.322,chopping
-0.009,-0.445,-0.99,5.075,-4.2,11.322,chopping
-0.009,-0.445,-0.99,2.905,-2.782,11.462,chopping
-0.028,-0.478,-0.939,2.905,-2.782,11.462,chopping
-0.028,-0.478,-0.939,2.922,-2.24,9.817,chopping
-0.032,-0.466,-0.934,2.922,-2.24,9.817,chopping
-0.032,-0.466,-0.934,3.062,-2.117,8.05,chopping
-0.034,-0.471,-0.913,3.062,-2.117,8.05,chopping
-0.023,-0.48,-0.882,3.062,-2.117,8.05,chopping
-0.023,-0.48,-0.882,3.902,-3.01,5.985,chopping
-0.026,-0.485,-0.883,3.902,-3.01,5.985,chopping
-0.026,-0.485,-0.883,5.267,-4.987,3.062,chopping
-0.017,-0.46,-0.907,5.267,-4.987,3.062,chopping
-0.017,-0.46,-0.907,6.51,-7.175,0.245,chopping
-0.008,-0.431,-0.936,6.51,-7.175,0.245,chopping
-0.008,-0.431,-0.936,6.44,-6.772,-0.997,chopping
-0.002,-0.425,-0.909,6.44,-6.772,-0.997,chopping
-0.002,-0.425,-0.909,6.247,-5.057,-0.665,chopping
-0.002,-0.422,-0.904,6.247,-5.057,-0.665,chopping
-0.002,-0.422,-0.904,6.842,-5.39,-0.367,chopping
-0.006,-0.41,-0.939,6.842,-5.39,-0.367,chopping
-0.006,-0.41,-0.939,6.09,-5.11,0.105,chopping
-0.01,-0.426,-0.949,6.09,-5.11,0.105,chopping
-0.01,-0.426,-0.949,4.9,-3.552,0.14,chopping
-0.012,-0.418,-0.938,4.9,-3.552,0.14,chopping
-0.012,-0.418,-0.938,4.2,-2.922,-0.192,chopping
-0.017,-0.43,-0.942,4.2,-2.922,-0.192,chopping
-0.02,-0.434,-0.941,4.2,-2.922,-0.192,chopping
-0.02,-0.434,-0.941,3.64,-3.255,-1.032,chopping
-0.014,-0.44,-0.911,3.64,-3.255,-1.032,chopping
-0.014,-0.44,-0.911,3.762,-4.042,-2.152,chopping
-0.017,-0.455,-0.911,3.762,-4.042,-2.152,chopping
-0.017,-0.455,-0.911,4.41,-5.197,-4.357,chopping
-0.014,-0.452,-0.925,4.41,-5.197,-4.357,chopping
-0.014,-0.452,-0.925,5.022,-6.755,-6.597,chopping
-0.011,-0.441,-0.925,5.022,-6.755,-6.597,chopping
-0.011,-0.441,-0.925,5.547,-7.752,-8.242,chopping
-0.007,-0.412,-0.922,5.547,-7.752,-8.242,chopping
-0.007,-0.412,-0.922,5.495,-6.737,-7.997,chopping
-0.009,-0.417,-0.941,5.495,-6.737,-7.997,chopping
-0.009,-0.417,-0.941,4.882,-5.985,-7.472,chopping
-0.01,-0.422,-0.933,4.882,-5.985,-7.472,chopping
-0.01,-0.422,-0.933,4.48,-6.86,-7,chopping
-0.012,-0.414,-0.942,4.48,-6.86,-7,chopping
-0.012,-0.414,-0.942,3.762,-7.297,-6.562,chopping
-0.016,-0.418,-0.95,3.762,-7.297,-6.562,chopping
-0.013,-0.436,-0.933,3.762,-7.297,-6.562,chopping
-0.013,-0.436,-0.933,2.957,-5.985,-6.16,chopping
-0.015,-0.428,-0.912,2.957,-5.985,-6.16,chopping
-0.015,-0.428,-0.912,3.097,-5.495,-6.877,chopping
-0.021,-0.411,-0.918,3.097,-5.495,-6.877,chopping
-0.021,-0.411,-0.918,3.517,-5.915,-7.315,chopping
-0.029,-0.411,-0.904,3.517,-5.915,-7.315,chopping
-0.029,-0.411,-0.904,4.112,-6.702,-7.175,chopping
-0.034,-0.401,-0.918,4.112,-6.702,-7.175,chopping
-0.034,-0.401,-0.918,4.812,-7.595,-7.122,chopping
-0.045,-0.397,-0.95,4.812,-7.595,-7.122,chopping
-0.045,-0.397,-0.95,4.042,-7.122,-6.3,chopping
-0.053,-0.42,-0.951,4.042,-7.122,-6.3,chopping
-0.053,-0.42,-0.951,3.132,-7.84,-6.457,chopping
-0.056,-0.4,-0.967,3.132,-7.84,-6.457,chopping
-0.056,-0.4,-0.967,1.575,-7.297,-6.16,chopping
-0.055,-0.419,-0.953,1.575,-7.297,-6.16,chopping
-0.051,-0.422,-0.921,0.665,-6.895,-6.457,chopping
-0.045,-0.412,-0.911,0.665,-6.895,-6.457,chopping
-0.045,-0.412,-0.911,1.172,-7.367,-7.105,chopping
-0.048,-0.402,-0.935,1.172,-7.367,-7.105,chopping
-0.048,-0.402,-0.935,1.54,-7.595,-7.35,chopping
-0.049,-0.393,-0.94,1.54,-7.595,-7.35,chopping
-0.049,-0.393,-0.94,1.05,-6.335,-6.475,chopping
-0.043,-0.404,-0.91,1.05,-6.335,-6.475,chopping
-0.043,-0.404,-0.91,0.91,-4.567,-5.635,chopping
-0.045,-0.407,-0.903,0.91,-4.567,-5.635,chopping
-0.045,-0.407,-0.903,1.715,-5.075,-5.477,chopping
-0.051,-0.409,-0.917,1.715,-5.075,-5.477,chopping
-0.051,-0.409,-0.917,2.205,-6.317,-5.442,chopping
-0.05,-0.403,-0.932,2.205,-6.317,-5.442,chopping
-0.05,-0.403,-0.932,2.135,-6.16,-5.25,chopping
-0.044,-0.404,-0.928,2.135,-6.16,-5.25,chopping
-0.044,-0.404,-0.928,2.012,-4.76,-4.882,chopping
-0.039,-0.401,-0.922,2.012,-4.76,-4.882,chopping
-0.034,-0.404,-0.924,2.012,-4.76,-4.882,chopping
-0.034,-0.404,-0.924,2.292,-4.427,-4.83,chopping
-0.026,-0.413,-0.926,2.292,-4.427,-4.83,chopping
-0.026,-0.413,-0.926,2.607,-4.55,-5.232,chopping
-0.02,-0.398,-0.915,2.607,-4.55,-5.232,chopping
-0.02,-0.398,-0.915,2.975,-5.565,-5.722,chopping
-0.02,-0.387,-0.921,2.975,-5.565,-5.722,chopping
-0.02,-0.387,-0.921,3.115,-5.897,-5.25,chopping
-0.02,-0.4,-0.92,3.115,-5.897,-5.25,chopping
-0.02,-0.4,-0.92,3.15,-5.372,-4.34,chopping
-0.029,-0.384,-0.947,3.15,-5.372,-4.34,chopping
-0.029,-0.384,-0.947,2.852,-5.25,-3.325,chopping
-0.029,-0.376,-0.942,2.852,-5.25,-3.325,chopping
-0.029,-0.376,-0.942,1.645,-4.025,-1.312,chopping
-0.028,-0.386,-0.95,1.645,-4.025,-1.312,chopping
-0.028,-0.386,-0.95,0.402,-3.08,0.052,chopping
-0.028,-0.404,-0.944,0.402,-3.08,0.052,chopping
-0.028,-0.404,-0.944,-0.35,-2.292,0.49,chopping
-0.025,-0.414,-0.922,-0.35,-2.292,0.49,chopping
-0.027,-0.423,-0.912,-0.35,-2.292,0.49,chopping
-0.027,-0.423,-0.912,0.017,-2.642,-0.122,chopping
-0.031,-0.429,-0.916,0.017,-2.642,-0.122,chopping
-0.031,-0.429,-0.916,0.875,-4.357,-1.312,chopping
-0.037,-0.397,-0.934,0.875,-4.357,-1.312,chopping
-0.037,-0.397,-0.934,1.662,-4.987,-1.925,chopping
-0.036,-0.392,-0.941,1.662,-4.987,-1.925,chopping
-0.036,-0.392,-0.941,1.365,-2.992,-0.875,chopping
-0.034,-0.419,-0.926,1.365,-2.992,-0.875,chopping
-0.034,-0.419,-0.926,1.33,-2.712,-0.56,chopping
-0.035,-0.404,-0.928,1.33,-2.712,-0.56,chopping
-0.035,-0.404,-0.928,1.662,-3.78,-0.91,chopping
-0.032,-0.394,-0.934,1.662,-3.78,-0.91,chopping
-0.032,-0.394,-0.934,1.347,-3.517,-0.682,chopping
-0.032,-0.402,-0.934,1.347,-3.517,-0.682,chopping
-0.032,-0.402,-0.934,1.155,-3.902,-0.665,chopping
-0.026,-0.403,-0.934,1.155,-3.902,-0.665,chopping
