acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
0.004,0.99,-0.132,1.4,-4.952,-1.872,brushing
0.003,0.993,-0.133,1.4,-4.952,-1.872,brushing
0.003,0.993,-0.133,1.522,-4.585,-1.295,brushing
0.005,0.993,-0.134,1.522,-4.585,-1.295,brushing
0.005,0.993,-0.134,1.627,-4.62,-0.927,brushing
0.006,0.99,-0.133,1.627,-4.62,-0.927,brushing
0.006,0.99,-0.133,1.785,-4.27,-0.752,brushing
0.007,0.987,-0.132,1.785,-4.27,-0.752,brushing
0.007,0.987,-0.132,1.837,-4.042,-0.647,brushing
0.008,0.986,-0.13,1.837,-4.042,-0.647,brushing
0.008,0.986,-0.13,1.627,-4.13,-0.577,brushing
0.011,0.987,-0.129,1.627,-4.13,-0.577,brushing
0.011,0.984,-0.129,1.102,-4.83,-0.402,brushing
0.007,0.981,-0.126,1.102,-4.83,-0.402,brushing
0.007,0.981,-0.126,0.612,-5.145,-0.437,brushing
0.009,0.98,-0.125,0.612,-5.145,-0.437,brushing
0.009,0.98,-0.125,0.385,-5.197,-0.49,brushing
0.005,0.978,-0.125,0.385,-5.197,-0.49,brushing
0.005,0.978,-0.125,0.297,-4.952,-0.42,brushing
0.007,0.984,-0.125,0.297,-4.952,-0.42,brushing
0.007,0.984,-0.125,0.28,-4.952,-0.367,brushing
0.007,0.987,-0.119,0.28,-4.952,-0.367,brushing
0.007,0.987,-0.119,0.28,-5.827,-0.35,brushing
0.003,0.982,-0.119,0.28,-5.827,-0.35,brushing
0.003,0.982,-0.119,0.612,-6.16,-0.385,brushing
0.004,0.98,-0.123,0.612,-6.16,-0.385,brushing
0.004,0.98,-0.123,1.137,-5.705,-0.28,brushing
0.001,0.978,-0.124,1.137,-5.705,-0.28,brushing
0.001,0.978,-0.124,1.767,-5.232,-0.157,brushing
0.001,0.975,-0.123,1.767,-5.232,-0.157,brushing
0.003,0.979,-0.12,1.767,-5.232,-0.157,brushing
0.003,0.979,-0.12,2.24,-5.092,-0.21,brushing
0,0.972,-0.118,2.24,-5.092,-0.21,brushing
0,0.972,-0.118,2.625,-5.285,-0.21,brushing
0.005,0.971,-0.124,2.625,-5.285,-0.21,brushing
0.005,0.971,-0.124,2.94,-5.04,-0.367,brushing
0.004,0.97,-0.127,2.94,-5.04,-0.367,brushing
0.004,0.97,-0.127,2.94,-4.672,-0.525,brushing
0.004,0.973,-0.128,2.94,-4.672,-0.525,brushing
0.004,0.973,-0.128,2.747,-4.62,-1.05,brushing
0.003,0.981,-0.124,2.747,-4.62,-1.05,brushing
0.003,0.981,-0.124,2.502,-4.952,-1.277,brushing
0,0.978,-0.125,2.502,-4.952,-1.277,brushing
0,0.978,-0.125,2.467,-5.075,-1.47,brushing
0.001,0.977,-0.13,2.467,-5.075,-1.47,brushing
0.001,0.977,-0.13,2.292,-4.655,-1.47,brushing
0.003,0.976,-0.129,2.292,-4.655,-1.47,brushing
0.003,0.976,-0.129,2.117,-4.322,-1.54,brushing
0.006,0.976,-0.128,2.117,-4.322,-1.54,brushing
0.006,0.976,-0.129,2.117,-4.322,-1.54,brushing
0.006,0.976,-0.129,1.855,-4.462,-1.662,brushing
0.004,0.973,-0.128,1.855,-4.462,-1.662,brushing
0.004,0.973,-0.128,1.732,-4.777,-1.802,brushing
0.005,0.967,-0.129,1.732,-4.777,-1.802,brushing
0.005,0.967,-0.129,1.82,-4.567,-1.977,brushing
0.005,0.971,-0.127,1.82,-4.567,-1.977,brushing
0.005,0.971,-0.127,2.065,-3.867,-2.1,brushing
0.006,0.977,-0.127,2.065,-3.867,-2.1,brushing
0.006,0.977,-0.127,2.327,-3.587,-2.24,brushing
0.007,0.98,-0.13,2.327,-3.587,-2.24,brushing
0.007,0.98,-0.13,2.432,-3.727,-2.327,brushing
0.006,0.983,-0.132,2.432,-3.727,-2.327,brushing
0.006,0.983,-0.132,2.485,-3.517,-2.152,brushing
0.004,0.984,-0.131,2.485,-3.517,-2.152,brushing
0.004,0.984,-0.131,2.607,-3.255,-1.837,brushing
0.007,0.986,-0.132,2.607,-3.255,-1.837,brushing
0.007,0.986,-0.132,2.607,-2.8,-1.54,brushing
0.007,0.985,-0.132,2.607,-2.8,-1.54,brushing
0.007,0.985,-0.128,2.607,-2.8,-1.54,brushing
