acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
-0.075,0.501,0.851,-28.7,-7.665,45.08,cleaning
-0.075,0.501,0.851,-25.777,-18.235,43.925,cleaning
-0.064,0.43,0.869,-25.777,-18.235,43.925,cleaning
-0.064,0.43,0.869,-21.402,-11.83,41.265,cleaning
-0.06,0.448,0.89,-21.402,-11.83,41.265,cleaning
-0.06,0.448,0.89,-17.412,2.782,38.972,cleaning
-0.058,0.494,0.909,-17.412,2.782,38.972,cleaning
-0.058,0.494,0.909,-15.085,12.022,38.535,cleaning
-0.055,0.529,0.904,-15.085,12.022,38.535,cleaning
-0.055,0.529,0.904,-14.682,12.285,39.392,cleaning
-0.047,0.527,0.889,-14.682,12.285,39.392,cleaning
-0.047,0.527,0.889,-15.977,3.92,39.235,cleaning
-0.022,0.486,0.861,-15.977,3.92,39.235,cleaning
-0.022,0.486,0.861,-18.217,-5.775,37.117,cleaning
-0.005,0.42,0.85,-18.217,-5.775,37.117,cleaning
0.014,0.382,0.863,-18.217,-5.775,37.117,cleaning
0.014,0.382,0.863,-19.407,-6.457,33.53,cleaning
0.043,0.413,0.887,-19.407,-6.457,33.53,cleaning
0.043,0.413,0.887,-18.795,-2.572,29.295,cleaning
0.065,0.417,0.909,-18.795,-2.572,29.295,cleaning
0.065,0.417,0.909,-16.73,-2.607,25.095,cleaning
0.084,0.403,0.918,-16.73,-2.607,25.095,cleaning
0.084,0.403,0.918,-13.65,-7.542,19.985,cleaning
0.1,0.375,0.929,-13.65,-7.542,19.985,cleaning
0.1,0.375,0.929,-9.24,-11.025,13.982,cleaning
0.114,0.358,0.934,-9.24,-11.025,13.982,cleaning
0.114,0.358,0.934,-3.797,-11.252,7.455,cleaning
0.13,0.339,0.922,-3.797,-11.252,7.455,cleaning
0.13,0.339,0.922,2.117,-5.95,1.26,cleaning
0.139,0.346,0.909,2.117,-5.95,1.26,cleaning
0.139,0.346,0.909,7.507,3.01,-4.252,cleaning
0.125,0.407,0.89,7.507,3.01,-4.252,cleaning
0.125,0.407,0.89,12.565,18.987,-5.827,cleaning
0.099,0.543,0.88,12.565,18.987,-5.827,cleaning
0.087,0.628,0.846,12.565,18.987,-5.827,cleaning
0.087,0.628,0.846,15.715,23.695,-4.27,cleaning
0.088,0.645,0.788,15.715,23.695,-4.27,cleaning
0.088,0.645,0.788,15.645,15.102,-2.292,cleaning
0.088,0.639,0.739,15.645,15.102,-2.292,cleaning
0.088,0.639,0.739,12.81,5.582,-0.175,cleaning
0.08,0.61,0.718,12.81,5.582,-0.175,cleaning
0.08,0.61,0.718,8.82,-1.015,1.435,cleaning
0.076,0.581,0.71,8.82,-1.015,1.435,cleaning
0.076,0.581,0.71,5.075,-6.072,2.187,cleaning
