acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
0.111,0.437,0.85,-2.327,-11.007,-3.377,cleaning
0.111,0.437,0.85,-1.557,-8.977,-3.57,cleaning
0.103,0.441,0.852,-1.557,-8.977,-3.57,cleaning
0.103,0.441,0.852,-1.085,-8.575,-4.235,cleaning
0.098,0.44,0.852,-1.085,-8.575,-4.235,cleaning
0.098,0.44,0.852,-0.455,-7.875,-4.882,cleaning
0.097,0.438,0.859,-0.455,-7.875,-4.882,cleaning
0.097,0.438,0.859,0.577,-5.6,-4.777,cleaning
0.102,0.434,0.867,0.577,-5.6,-4.777,cleaning
0.102,0.434,0.867,1.802,-3.15,-4.69,cleaning
0.112,0.433,0.87,1.802,-3.15,-4.69,cleaning
0.115,0.439,0.874,2.677,-1.697,-4.567,cleaning
0.109,0.442,0.877,2.677,-1.697,-4.567,cleaning
0.109,0.442,0.877,3.132,-1.732,-4.287,cleaning
0.106,0.441,0.879,3.132,-1.732,-4.287,cleaning
0.106,0.441,0.879,3.377,-2.257,-3.885,cleaning
0.104,0.452,0.878,3.377,-2.257,-3.885,cleaning
0.104,0.452,0.878,3.202,-3.657,-3.85,cleaning
0.096,0.454,0.876,3.202,-3.657,-3.85,cleaning
0.096,0.454,0.876,2.957,-5.285,-3.482,cleaning
0.095,0.444,0.871,2.957,-5.285,-3.482,cleaning
0.095,0.444,0.871,2.747,-5.95,-3.272,cleaning
0.102,0.432,0.867,2.747,-5.95,-3.272,cleaning
0.102,0.432,0.867,2.432,-5.582,-3.762,cleaning
0.105,0.427,0.862,2.432,-5.582,-3.762,cleaning
0.105,0.427,0.862,2.222,-3.92,-3.797,cleaning
0.104,0.433,0.862,2.222,-3.92,-3.797,cleaning
0.104,0.433,0.862,1.872,-4.392,-3.815,cleaning
0.098,0.449,0.864,1.872,-4.392,-3.815,cleaning
0.094,0.451,0.859,1.872,-4.392,-3.815,cleaning
0.094,0.451,0.859,1.662,-6.58,-3.447,cleaning
0.098,0.449,0.855,1.662,-6.58,-3.447,cleaning
0.098,0.449,0.855,1.645,-8.225,-2.712,cleaning
0.097,0.434,0.852,1.645,-8.225,-2.712,cleaning
0.097,0.434,0.852,1.995,-9.38,-2.1,cleaning
0.097,0.421,0.854,1.995,-9.38,-2.1,cleaning
0.097,0.421,0.854,2.765,-8.942,-1.995,cleaning
0.093,0.424,0.864,2.765,-8.942,-1.995,cleaning
0.093,0.424,0.864,3.657,-5.932,-2.117,cleaning
0.095,0.436,0.874,3.657,-5.932,-2.117,cleaning
0.095,0.436,0.874,4.637,-3.5,-2.59,cleaning
0.103,0.447,0.872,4.637,-3.5,-2.59,cleaning
0.103,0.447,0.872,5.18,-3.237,-2.817,cleaning
0.111,0.449,0.865,5.18,-3.237,-2.817,cleaning
0.111,0.449,0.865,4.707,-4.217,-2.782,cleaning
0.112,0.447,0.87,4.707,-4.217,-2.782,cleaning
0.112,0.447,0.87,4.095,-5.057,-2.642,cleaning
0.108,0.445,0.879,4.095,-5.057,-2.642,cleaning
0.102,0.438,0.885,4.095,-5.057,-2.642,cleaning
0.102,0.438,0.885,3.762,-5.617,-2.275,cleaning
0.097,0.436,0.884,3.762,-5.617,-2.275,cleaning
0.097,0.436,0.884,3.5,-6.072,-1.942,cleaning
0.098,0.433,0.877,3.5,-6.072,-1.942,cleaning
0.098,0.433,0.877,2.922,-6.93,-1.872,cleaning
0.098,0.438,0.875,2.922,-6.93,-1.872,cleaning
0.098,0.438,0.875,2.1,-8.26,-1.89,cleaning
0.098,0.45,0.876,2.1,-8.26,-1.89,cleaning
0.098,0.45,0.876,1.645,-10.762,-1.785,cleaning
0.096,0.455,0.885,1.645,-10.762,-1.785,cleaning
0.096,0.455,0.885,2.625,-12.075,-0.962,cleaning
0.103,0.45,0.882,2.625,-12.075,-0.962,cleaning
0.103,0.45,0.882,4.69,-12.232,-0.21,cleaning
0.116,0.44,0.858,4.69,-12.232,-0.21,cleaning
0.116,0.44,0.858,5.442,-14.07,-0.262,cleaning
0.115,0.451,0.833,5.442,-14.07,-0.262,cleaning
0.115,0.451,0.833,4.637,-15.61,1.12,cleaning
0.109,0.439,0.843,4.637,-15.61,1.12,cleaning
0.112,0.411,0.866,4.637,-15.61,1.12,cleaning
0.112,0.411,0.866,3.622,-17.097,1.837,cleaning
0.11,0.378,0.892,3.622,-17.097,1.837,cleaning
0.11,0.378,0.892,3.745,-14.77,1.155,cleaning
0.103,0.37,0.909,3.745,-14.77,1.155,cleaning
0.103,0.37,0.909,5.705,-7.14,0.472,cleaning
0.107,0.381,0.91,5.705,-7.14,0.472,cleaning
