acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
0.333,0.601,0.753,18.795,7.682,24.272,chopping
0.304,0.576,0.775,18.795,7.682,24.272,chopping
0.354,0.585,0.731,17.552,-3.937,21.84,chopping
0.381,0.513,0.673,17.552,-3.937,21.84,chopping
0.381,0.513,0.673,12.022,-17.622,18.672,chopping
0.37,0.438,0.673,12.022,-17.622,18.672,chopping
0.37,0.438,0.673,5.11,-18.287,14.49,chopping
0.385,0.446,0.661,5.11,-18.287,14.49,chopping
0.385,0.446,0.661,-1.732,-12.95,10.132,chopping
0.331,0.42,0.646,-1.732,-12.95,10.132,chopping
0.331,0.42,0.646,-9.257,-13.387,3.465,chopping
0.302,0.434,0.635,-9.257,-13.387,3.465,chopping
0.302,0.434,0.635,-16.012,-10.167,-2.257,chopping
0.345,0.552,0.648,-16.012,-10.167,-2.257,chopping
0.345,0.552,0.648,-20.142,-8.05,-4.83,chopping
0.254,0.376,0.79,-20.142,-8.05,-4.83,chopping
0.254,0.376,0.79,-16.642,-4.112,-13.86,chopping
0.299,0.532,0.775,-16.642,-4.112,-13.86,chopping
0.299,0.532,0.775,-12.495,-3.22,-15.032,chopping
0.269,0.578,0.707,-12.495,-3.22,-15.032,chopping
0.27,0.53,0.765,-12.495,-3.22,-15.032,chopping
0.27,0.53,0.765,-10.185,-14.84,-18.13,chopping
0.149,0.422,0.879,-10.185,-14.84,-18.13,chopping
0.149,0.422,0.879,-0.735,0.262,-18.497,chopping
0.316,0.582,0.971,-0.735,0.262,-18.497,chopping
0.316,0.582,0.971,20.807,37.1,-15.12,chopping
0.325,0.775,0.896,20.807,37.1,-15.12,chopping
0.325,0.775,0.896,36.575,41.3,-9.432,chopping
0.419,0.735,0.839,36.575,41.3,-9.432,chopping
0.419,0.735,0.839,45.78,23.905,-3.01,chopping
0.471,0.825,0.691,45.78,23.905,-3.01,chopping
0.471,0.825,0.691,47.215,15.995,8.872,chopping
0.541,0.803,0.58,47.215,15.995,8.872,chopping
0.541,0.803,0.58,38.937,-5.425,14.805,chopping
0.568,0.668,0.523,38.937,-5.425,14.805,chopping
0.568,0.668,0.523,31.01,-11.76,19.337,chopping
0.54,0.503,0.523,31.01,-11.76,19.337,chopping
0.54,0.503,0.523,28.735,10.29,23.415,chopping
0.494,0.515,0.528,28.735,10.29,23.415,chopping
0.488,0.587,0.532,28.735,10.29,23.415,chopping
0.488,0.587,0.532,25.76,26.46,26.67,chopping
0.434,0.543,0.553,25.76,26.46,26.67,chopping
0.434,0.543,0.553,17.202,13.667,25.112,chopping
0.47,0.509,0.551,17.202,13.667,25.112,chopping
0.47,0.509,0.551,7.647,9.327,23.765,chopping
0.494,0.525,0.665,7.647,9.327,23.765,chopping
0.494,0.525,0.665,-0.297,14.332,22.557,chopping
0.315,0.569,0.662,-0.297,14.332,22.557,chopping
0.315,0.569,0.662,-7.787,2.362,18.235,chopping
0.301,0.456,0.674,-7.787,2.362,18.235,chopping
0.301,0.456,0.674,-15.557,-18.112,6.072,chopping
0.277,0.343,0.705,-15.557,-18.112,6.072,chopping
0.277,0.343,0.705,-18.13,-11.375,-5.67,chopping
0.222,0.335,0.732,-18.13,-11.375,-5.67,chopping
0.222,0.335,0.732,-14.087,15.155,-15.347,chopping
0.165,0.463,0.863,-14.087,15.155,-15.347,chopping
0.165,0.463,0.863,-0.122,32.025,-20.195,chopping
0.127,0.675,1.013,-0.122,32.025,-20.195,chopping
0.228,0.765,1.116,-0.122,32.025,-20.195,chopping
0.228,0.765,1.116,23.135,28.892,-20.947,chopping
0.338,0.839,1.003,23.135,28.892,-20.947,chopping
0.338,0.839,1.003,44.975,4.06,-21.28,chopping
0.45,0.811,0.769,44.975,4.06,-21.28,chopping
0.45,0.811,0.769,52.885,-34.212,-19.267,chopping
0.538,0.631,0.57,52.885,-34.212,-19.267,chopping
0.538,0.631,0.57,47.617,-49.63,-16.782,chopping
0.576,0.56,0.431,47.617,-49.63,-16.782,chopping
0.576,0.56,0.431,34.09,-34.79,-12.075,chopping
0.567,0.544,0.402,34.09,-34.79,-12.075,chopping
0.567,0.544,0.402,18.06,-20.965,-9.117,chopping
0.526,0.524,0.462,18.06,-20.965,-9.117,chopping
0.526,0.524,0.462,7.052,-11.62,-8.085,chopping
0.484,0.498,0.55,7.052,-11.62,-8.085,chopping
0.484,0.498,0.55,4.252,-0.28,-8.47,chopping
0.469,0.512,0.606,4.252,-0.28,-8.47,chopping
0.468,0.543,0.617,5.6,8.977,-9.24,chopping
0.471,0.584,0.634,5.6,8.977,-9.24,chopping
0.471,0.584,0.634,7.297,11.322,-10.167,chopping
0.49,0.646,0.639,7.297,11.322,-10.167,chopping
0.49,0.646,0.639,8.697,8.855,-8.855,chopping
0.503,0.642,0.638,8.697,8.855,-8.855,chopping
0.503,0.642,0.638,8.627,0.735,-6.912,chopping
0.46,0.588,0.639,8.627,0.735,-6.912,chopping
0.46,0.588,0.639,7.297,-8.295,-6.58,chopping
0.465,0.575,0.63,7.297,-8.295,-6.58,chopping
0.465,0.575,0.63,5.127,-12.827,-7.42,chopping
0.437,0.644,0.646,5.127,-12.827,-7.42,chopping
0.437,0.644,0.646,2.03,-15.33,-5.11,chopping
0.5,0.79,0.541,2.03,-15.33,-5.11,chopping
0.5,0.79,0.541,-7.192,-24.447,1.207,chopping
0.535,0.678,0.468,-7.192,-24.447,1.207,chopping
0.535,0.678,0.468,-21.805,-41.37,-2.205,chopping
