acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
0.346,0.487,0.772,4.427,-8.365,-2.432,brushing
0.346,0.487,0.772,4.235,-8.277,-2.467,brushing
0.35,0.486,0.774,4.235,-8.277,-2.467,brushing
0.35,0.486,0.774,4.06,-7.945,-2.677,brushing
0.351,0.492,0.774,4.06,-7.945,-2.677,brushing
0.351,0.492,0.774,3.972,-7.525,-2.975,brushing
0.349,0.494,0.77,3.972,-7.525,-2.975,brushing
0.349,0.494,0.77,3.815,-7.192,-2.835,brushing
0.347,0.497,0.769,3.815,-7.192,-2.835,brushing
0.347,0.497,0.769,3.71,-6.65,-2.327,brushing
0.347,0.5,0.774,3.71,-6.65,-2.327,brushing
0.347,0.5,0.774,3.867,-5.897,-1.68,brushing
0.347,0.501,0.774,3.867,-5.897,-1.68,brushing
0.347,0.501,0.774,4.025,-5.197,-0.962,brushing
0.346,0.5,0.773,4.025,-5.197,-0.962,brushing
0.344,0.502,0.77,4.025,-5.197,-0.962,brushing
0.344,0.502,0.77,4.182,-4.497,-0.297,brushing
0.342,0.501,0.769,4.182,-4.497,-0.297,brushing
0.342,0.501,0.769,4.2,-3.99,0.35,brushing
0.339,0.497,0.771,4.2,-3.99,0.35,brushing
0.339,0.497,0.771,4.095,-3.482,0.735,brushing
0.337,0.493,0.771,4.095,-3.482,0.735,brushing
0.337,0.493,0.771,4.007,-2.59,0.91,brushing
0.339,0.488,0.769,4.007,-2.59,0.91,brushing
0.339,0.488,0.769,3.657,-1.61,0.84,brushing
0.336,0.488,0.769,3.657,-1.61,0.84,brushing
0.336,0.488,0.769,3.202,-0.717,0.805,brushing
0.337,0.487,0.765,3.202,-0.717,0.805,brushing
0.337,0.487,0.765,2.485,-0.105,0.805,brushing
0.335,0.479,0.763,2.485,-0.105,0.805,brushing
0.335,0.479,0.763,1.662,0.857,0.472,brushing
0.334,0.481,0.762,1.662,0.857,0.472,brushing
0.334,0.481,0.762,0.84,1.732,-0.14,brushing
0.335,0.476,0.76,0.84,1.732,-0.14,brushing
0.333,0.473,0.762,0.84,1.732,-0.14,brushing
0.333,0.473,0.762,-0.017,2.782,-0.962,brushing
0.331,0.473,0.763,-0.017,2.782,-0.962,brushing
0.331,0.473,0.763,-0.56,4.97,-2.152,brushing
0.332,0.478,0.751,-0.56,4.97,-2.152,brushing
0.332,0.478,0.751,-1.05,7.892,-3.447,brushing
0.33,0.483,0.738,-1.05,7.892,-3.447,brushing
0.33,0.483,0.738,-2.17,12.197,-4.48,brushing
0.331,0.495,0.74,-2.17,12.197,-4.48,brushing
0.331,0.495,0.74,-2.975,16.992,-4.917,brushing
0.336,0.523,0.775,-2.975,16.992,-4.917,brushing
0.336,0.523,0.775,-2.59,17.867,-5.862,brushing
0.331,0.531,0.802,-2.59,17.867,-5.862,brushing
0.331,0.531,0.802,-1.032,13.772,-7.385,brushing
0.331,0.531,0.793,-1.032,13.772,-7.385,brushing
0.331,0.531,0.793,0.455,10.5,-8.575,brushing
0.336,0.515,0.751,0.455,10.5,-8.575,brushing
0.338,0.491,0.715,0.647,16.345,-9.31,brushing
0.322,0.538,0.761,0.647,16.345,-9.31,brushing
0.322,0.538,0.761,0.682,27.02,-10.36,brushing
0.306,0.588,0.805,0.682,27.02,-10.36,brushing
0.306,0.588,0.805,2.327,21.49,-11.06,brushing
0.307,0.579,0.8,2.327,21.49,-11.06,brushing
0.307,0.579,0.8,4.48,8.19,-11.777,brushing
0.307,0.547,0.762,4.48,8.19,-11.777,brushing
0.307,0.547,0.762,5.582,5.232,-12.355,brushing
0.305,0.545,0.756,5.582,5.232,-12.355,brushing
0.305,0.545,0.756,6.265,8.662,-12.932,brushing
0.299,0.572,0.762,6.265,8.662,-12.932,brushing
0.299,0.572,0.762,6.737,9.66,-12.722,brushing
0.291,0.584,0.757,6.737,9.66,-12.722,brushing
0.291,0.584,0.757,7.157,10.115,-12.442,brushing
0.295,0.584,0.733,7.157,10.115,-12.442,brushing
0.295,0.584,0.733,6.58,11.515,-12.477,brushing
0.298,0.582,0.721,6.58,11.515,-12.477,brushing
0.298,0.601,0.711,6.58,11.515,-12.477,brushing
0.298,0.601,0.711,5.687,13.615,-12.932,brushing
0.29,0.621,0.716,5.687,13.615,-12.932,brushing
0.29,0.621,0.716,4.865,12.81,-12.88,brushing
0.283,0.618,0.711,4.865,12.81,-12.88,brushing
0.283,0.618,0.711,4.567,9.747,-12.582,brushing
0.286,0.601,0.703,4.567,9.747,-12.582,brushing
0.286,0.601,0.703,4.095,8.417,-12.46,brushing
0.292,0.586,0.696,4.095,8.417,-12.46,brushing
0.292,0.586,0.696,3.605,7.892,-12.845,brushing
0.301,0.576,0.695,3.605,7.892,-12.845,brushing
0.301,0.576,0.695,3.15,8.82,-13.825,brushing
0.301,0.591,0.696,3.15,8.82,-13.825,brushing
0.301,0.591,0.696,3.045,9.992,-14.35,brushing
0.293,0.619,0.705,3.045,9.992,-14.35,brushing
0.293,0.619,0.705,3.605,8.977,-13.86,brushing
0.295,0.636,0.703,3.605,8.977,-13.86,brushing
0.295,0.636,0.703,3.972,7.437,-12.687,brushing
0.299,0.641,0.686,3.972,7.437,-12.687,brushing
0.301,0.652,0.677,3.972,7.437,-12.687,brushing
0.301,0.652,0.677,3.78,6.37,-12.04,brushing
0.299,0.65,0.66,3.78,6.37,-12.04,brushing
0.299,0.65,0.66,2.66,1.855,-11.585,brushing
0.298,0.647,0.662,2.66,1.855,-11.585,brushing
0.298,0.647,0.662,1.837,0.56,-10.762,brushing
0.307,0.654,0.67,1.837,0.56,-10.762,brushing
0.307,0.654,0.67,1.47,2.362,-9.73,brushing
0.315,0.655,0.672,1.47,2.362,-9.73,brushing
0.315,0.655,0.672,1.452,5.197,-8.487,brushing
0.327,0.658,0.671,1.452,5.197,-8.487,brushing
0.327,0.658,0.671,1.137,8.96,-6.772,brushing
