acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
-0.359,0.375,0.818,2.572,-4.76,-1.435,cleaning
-0.367,0.378,0.822,2.572,-4.76,-1.435,cleaning
-0.367,0.378,0.822,2.222,-5.582,-0.752,cleaning
-0.366,0.368,0.825,2.222,-5.582,-0.752,cleaning
-0.366,0.368,0.825,2.257,-6.072,-0.805,cleaning
-0.367,0.361,0.825,2.257,-6.072,-0.805,cleaning
-0.367,0.361,0.825,2.59,-5.355,-0.962,cleaning
-0.366,0.359,0.822,2.59,-5.355,-0.962,cleaning
-0.364,0.363,0.823,2.712,-4.515,-1.172,cleaning
-0.367,0.368,0.827,2.712,-4.515,-1.172,cleaning
-0.367,0.368,0.827,2.66,-4.322,-1.26,cleaning
-0.367,0.36,0.826,2.66,-4.322,-1.26,cleaning
-0.367,0.36,0.826,2.8,-4.445,-1.242,cleaning
-0.371,0.357,0.824,2.8,-4.445,-1.242,cleaning
-0.371,0.357,0.824,3.062,-4.182,-1.312,cleaning
-0.369,0.356,0.819,3.062,-4.182,-1.312,cleaning
-0.369,0.356,0.819,3.29,-3.535,-1.4,cleaning
-0.368,0.362,0.826,3.29,-3.535,-1.4,cleaning
-0.368,0.362,0.826,3.43,-3.342,-1.522,cleaning
-0.362,0.363,0.827,3.43,-3.342,-1.522,cleaning
-0.362,0.363,0.827,3.57,-3.465,-1.575,cleaning
-0.361,0.367,0.825,3.57,-3.465,-1.575,cleaning
-0.361,0.367,0.825,3.535,-3.552,-1.417,cleaning
-0.359,0.37,0.818,3.535,-3.552,-1.417,cleaning
-0.359,0.37,0.818,3.29,-3.727,-1.26,cleaning
-0.363,0.37,0.821,3.29,-3.727,-1.26,cleaning
-0.365,0.368,0.823,3.202,-4.112,-1.207,cleaning
-0.365,0.361,0.819,3.202,-4.112,-1.207,cleaning
-0.365,0.361,0.819,3.43,-4.147,-1.19,cleaning
-0.366,0.363,0.819,3.43,-4.147,-1.19,cleaning
-0.366,0.363,0.819,3.535,-3.605,-1.172,cleaning
-0.362,0.364,0.819,3.535,-3.605,-1.172,cleaning
-0.362,0.364,0.819,3.447,-3.36,-1.172,cleaning
-0.358,0.362,0.821,3.447,-3.36,-1.172,cleaning
-0.358,0.362,0.821,2.957,-3.5,-1.365,cleaning
-0.359,0.368,0.831,2.957,-3.5,-1.365,cleaning
-0.359,0.368,0.831,2.45,-4.06,-1.54,cleaning
-0.362,0.372,0.837,2.45,-4.06,-1.54,cleaning
-0.362,0.372,0.837,2.467,-4.27,-1.295,cleaning
-0.36,0.367,0.826,2.467,-4.27,-1.295,cleaning
-0.36,0.367,0.826,2.432,-3.972,-1.015,cleaning
-0.367,0.367,0.826,2.432,-3.972,-1.015,cleaning
-0.367,0.367,0.826,2.415,-4.2,-1.12,cleaning
-0.367,0.365,0.824,2.415,-4.2,-1.12,cleaning
-0.368,0.366,0.822,2.415,-4.2,-1.12,cleaning
-0.368,0.366,0.822,2.432,-4.515,-1.242,cleaning
-0.366,0.362,0.824,2.432,-4.515,-1.242,cleaning
-0.366,0.362,0.824,2.607,-4.41,-1.242,cleaning
-0.369,0.362,0.825,2.607,-4.41,-1.242,cleaning
-0.369,0.362,0.825,3.01,-3.955,-1.295,cleaning
-0.367,0.362,0.823,3.01,-3.955,-1.295,cleaning
-0.367,0.362,0.823,3.57,-3.482,-1.26,cleaning
-0.367,0.361,0.821,3.57,-3.482,-1.26,cleaning
-0.367,0.361,0.821,4.042,-3.517,-1.347,cleaning
-0.365,0.36,0.819,4.042,-3.517,-1.347,cleaning
-0.365,0.36,0.819,4.34,-3.202,-1.662,cleaning
-0.36,0.366,0.827,4.34,-3.202,-1.662,cleaning
-0.36,0.366,0.827,4.532,-2.765,-1.96,cleaning
-0.362,0.371,0.829,4.532,-2.765,-1.96,cleaning
-0.362,0.371,0.829,4.777,-2.87,-2.065,cleaning
-0.362,0.365,0.827,4.777,-2.87,-2.065,cleaning
-0.362,0.365,0.827,5.075,-2.607,-2.152,cleaning
-0.361,0.361,0.821,5.075,-2.607,-2.152,cleaning
