acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
-0.138,0.626,0.744,2.17,-4.532,-0.227,chopping
-0.138,0.626,0.744,2.695,-5.092,-0.42,chopping
-0.138,0.621,0.738,2.695,-5.092,-0.42,chopping
-0.138,0.621,0.738,3.115,-4.795,-0.507,chopping
-0.138,0.621,0.732,3.115,-4.795,-0.507,chopping
-0.138,0.621,0.732,3.29,-4.497,-0.56,chopping
-0.138,0.621,0.724,3.29,-4.497,-0.56,chopping
-0.138,0.621,0.724,3.045,-3.867,-0.612,chopping
-0.138,0.629,0.723,3.045,-3.867,-0.612,chopping
-0.138,0.629,0.723,2.502,-3.727,-0.507,chopping
-0.136,0.639,0.727,2.502,-3.727,-0.507,chopping
-0.135,0.647,0.74,2.502,-3.727,-0.507,chopping
-0.135,0.647,0.74,1.925,-4.795,-0.315,chopping
-0.131,0.645,0.741,1.925,-4.795,-0.315,chopping
-0.131,0.645,0.741,1.732,-6.58,-0.21,chopping
-0.13,0.635,0.74,1.732,-6.58,-0.21,chopping
-0.13,0.635,0.74,1.662,-7.735,-0.245,chopping
-0.13,0.623,0.734,1.662,-7.735,-0.245,chopping
-0.13,0.623,0.734,1.785,-7.192,-0.14,chopping
-0.131,0.615,0.729,1.785,-7.192,-0.14,chopping
-0.131,0.615,0.729,1.907,-5.932,0.052,chopping
-0.137,0.612,0.73,1.907,-5.932,0.052,chopping
-0.137,0.612,0.73,1.872,-5.127,0.035,chopping
-0.143,0.624,0.74,1.872,-5.127,0.035,chopping
-0.143,0.624,0.74,2.03,-5.6,-0.087,chopping
-0.147,0.629,0.739,2.03,-5.6,-0.087,chopping
-0.147,0.629,0.739,2.257,-6.457,-0.28,chopping
-0.142,0.623,0.735,2.257,-6.457,-0.28,chopping
-0.137,0.612,0.724,2.275,-6.142,-0.42,chopping
-0.136,0.605,0.719,2.275,-6.142,-0.42,chopping
-0.136,0.605,0.719,1.96,-4.585,-0.682,chopping
-0.136,0.6,0.715,1.96,-4.585,-0.682,chopping
-0.136,0.6,0.715,1.54,-3.132,-1.207,chopping
-0.144,0.591,0.719,1.54,-3.132,-1.207,chopping
-0.144,0.591,0.719,0.875,-2.747,-2.012,chopping
-0.148,0.619,0.73,0.875,-2.747,-2.012,chopping
-0.148,0.619,0.73,0.84,-3.657,-2.992,chopping
-0.152,0.675,0.756,0.84,-3.657,-2.992,chopping
-0.152,0.675,0.756,0.805,-12.67,-3.64,chopping
-0.142,0.714,0.762,0.805,-12.67,-3.64,chopping
-0.142,0.714,0.762,0.28,-32.165,-3.885,chopping
-0.133,0.659,0.742,0.28,-32.165,-3.885,chopping
-0.133,0.659,0.742,-0.962,-46.69,-4.865,chopping
-0.134,0.588,0.713,-0.962,-46.69,-4.865,chopping
-0.134,0.588,0.713,-2.747,-47.355,-5.022,chopping
-0.132,0.575,0.716,-2.747,-47.355,-5.022,chopping
-0.123,0.569,0.747,-4.06,-43.89,-4.935,chopping
-0.169,0.548,0.795,-4.06,-43.89,-4.935,chopping
-0.169,0.548,0.795,-4.007,-40.267,-5.53,chopping
-0.157,0.605,0.776,-4.007,-40.267,-5.53,chopping
-0.157,0.605,0.776,-2.345,-28.525,-2.835,chopping
-0.154,0.591,0.824,-2.345,-28.525,-2.835,chopping
-0.154,0.591,0.824,-0.332,-20.58,-0.052,chopping
-0.151,0.542,0.821,-0.332,-20.58,-0.052,chopping
-0.151,0.542,0.821,2.152,-18.9,-0.63,chopping
-0.142,0.525,0.808,2.152,-18.9,-0.63,chopping
-0.142,0.525,0.808,4.34,-13.247,-1.627,chopping
-0.14,0.51,0.803,4.34,-13.247,-1.627,chopping
-0.14,0.51,0.803,5.897,-5.32,-2.642,chopping
-0.142,0.517,0.801,5.897,-5.32,-2.642,chopping
-0.142,0.517,0.801,7.035,1.592,-3.132,chopping
-0.144,0.545,0.805,7.035,1.592,-3.132,chopping
-0.144,0.545,0.805,7.437,1.557,-3.5,chopping
-0.149,0.558,0.794,7.437,1.557,-3.5,chopping
-0.149,0.556,0.778,7.07,-0.822,-3.272,chopping
-0.148,0.553,0.768,7.07,-0.822,-3.272,chopping
-0.148,0.553,0.768,5.967,-1.33,-2.345,chopping
-0.148,0.553,0.765,5.967,-1.33,-2.345,chopping
-0.148,0.553,0.765,4.305,-1.995,-1.732,chopping
-0.152,0.55,0.769,4.305,-1.995,-1.732,chopping
-0.152,0.55,0.769,2.537,-2.642,-1.872,chopping
-0.153,0.558,0.778,2.537,-2.642,-1.872,chopping
-0.153,0.558,0.778,1.417,-2.555,-2.117,chopping
-0.151,0.561,0.785,1.417,-2.555,-2.117,chopping
-0.151,0.561,0.785,1.137,-2.45,-2.047,chopping
-0.145,0.559,0.786,1.137,-2.45,-2.047,chopping
-0.145,0.559,0.786,1.312,-1.872,-1.785,chopping
-0.141,0.563,0.787,1.312,-1.872,-1.785,chopping
-0.141,0.563,0.787,1.732,-1.365,-1.417,chopping
-0.139,0.569,0.787,1.732,-1.365,-1.417,chopping
-0.139,0.569,0.787,1.767,-1.837,-0.945,chopping
